Όνομα Προμηθευτή,Μέσο Ποσοστό Περικοπής,Αθροιστικό Βάρος (αρχικό),Αθροιστική Αξία (αρχική),Αξιολόγηση Προμηθευτή,Κατηγορία Προμηθευτή
103,0.0,328.0,38.8975,7.0,average
824,0.0,328.0,38.8975,7.0,average
586,0.0,998.0,99.8,7.0,average
127,0.0,1071.0,53.55,7.0,average
277,0.0,1245.0,12.45,7.0,average
26,0.0,1012.0,121.44,7.0,average
502,0.0,846.0,126.9,7.0,average
849,0.0,850.0,102.0,7.0,average
863,0.0,8525.0,8124.33,7.0,average
406,0.424448,1199050.0,1141010.0,7.021,good
950,1.32592,1375710.0,189211.0,6.8055,bad
178,0.337838,7970.0,21163.5,6.951,average
831,0.00561451,97790.0,86861.6,7.0045,good
830,0.223985,90320.0,81904.9,6.9695,average
505,0.840841,6174220.0,766122.0,6.966,average
743,1.42106,183748992.0,22799900.0,9.769,good
693,0.0,2600.0,9360.0,7.0,average
168,0.0,1287.0,12.87,7.0,average
178,7.00054,9285.0,1299.9,5.852,bad
704,0.0,1020.0,102.0,7.0,average
566,0.0,1326.0,119.34,7.0,average
597,0.0,983.0,127.79,7.0,average
864,0.0,1211.0,48.44,7.0,average
541,0.165112,1068340.0,1470150.0,7.0825,good
430,0.0,1743.0,147.8,7.0,average
82,0.0,1271.0,76.26,7.0,average
855,0.0,460.0,4.6,7.0,average
3,0.0,854.0,85.4,7.0,average
342,0.0,888.0,106.56,7.0,average
171,0.0,1524.0,15.24,7.0,average
335,0.877193,570.0,2052.0,6.86,bad
201,0.316566,49095.0,43522.8,6.9525,average
627,0.0165849,6643630.0,845270.0,7.1095,good
511,0.0,1089.0,119.79,7.0,average
67,0.0,279.0,2.79,7.0,average
642,0.153894,85646.0,66003.8,6.982,average
518,0.0816993,41245.0,7458.25,6.993,average
764,0.172426,124920.0,61492.3,6.975,average
508,0.0,274075.0,32654.1,7.003,good
705,0.514312,68615.0,59144.4,6.919,average
153,0.231506,2772000.0,354317.0,7.01,good
8,0.0,950.0,104.5,7.0,average
166,0.700559,67780.0,93608.1,6.894,average
578,0.0,16370.0,17705.5,7.0,average
589,0.0,1054.0,126.48,7.0,average
195,0.420168,2140.0,1605.0,6.937,average
837,14.6877,108840.0,41558.8,4.5935,bad
682,2.80112,56685.0,8250.38,6.545,bad
313,0.0,803.0,8.03,7.0,average
936,0.0,105.0,0.00525,7.0,average
141,0.0,565.0,0.02825,7.0,average
444,0.0,8220210.0,2139490.0,7.2055,good
913,0.0,915.0,9.15,7.0,average
29,0.0,917.0,100.87,7.0,average
357,0.0,332.0,3.32,7.0,average
953,5.89818,30880.0,24704.0,6.0355,bad
35,0.732461,27990.0,29595.4,6.8825,bad
113,0.0,236.0,2.36,7.0,average
234,0.442026,4680.0,10570.8,6.93,average
315,0.0,352.0,3.52,7.0,average
474,0.0,428.0,4.28,7.0,average
388,0.0,427.0,4.27,7.0,average
368,0.0,1149.0,11.49,7.0,average
886,0.0365052,121785.0,19317.5,7.0,average
66,1.62162,3700.0,13357.0,6.734,bad
718,1.0213,177650.0,20645.8,6.839,bad
78,0.0,3965.0,6819.8,7.0,average
60,0.0,940.0,9.4,7.0,average
342,0.63968,50170.0,33864.8,6.9035,average
876,0.233749,357280.0,384503.0,6.9905,average
967,0.0,1715.0,1835.05,7.0,average
907,0.0,507.0,26298.1,7.0015,good
569,0.0,507.0,26.2981,7.0,average
231,0.175902,5685.0,3979.5,6.972,average
156,0.0,11170.0,9271.1,7.0,average
86,0.0,1164.0,69.84,7.0,average
942,1.1236,890.0,685.3,6.818,bad
42,0.0,1105.0,154.7,7.0,average
708,0.0,1190.0,154.7,7.0,average
819,0.0,1203.0,12.03,7.0,average
213,0.0,468.0,4.68,7.0,average
598,0.0,1094.0,120.34,7.0,average
796,0.0,1333.0,53.32,7.0,average
833,0.748663,935.0,1150.05,6.881,bad
506,0.0,710.0,127.8,7.0,average
840,0.0,906.0,54.36,7.0,average
786,0.0,36.0,2256.0,7.0,average
254,0.0,1094.0,10.94,7.0,average
721,0.0,811.0,105.43,7.0,average
511,0.338123,945235.0,115781.0,6.966,average
189,0.0,434.0,4.34,7.0,average
851,4.70055,37045.0,33196.9,6.2315,bad
869,0.538155,30450.0,35479.1,6.9175,average
656,0.0,15295.0,1529.5,7.0,average
102,0.0,225.0,0.01125,7.0,average
536,0.0,25.0,0.0125,7.0,average
