Date,E Shredder(kWh), E ECurrent(kWh),SHREDDED(kg),ZORBA(kg),INOX(kg),CUFe(kg),FLUFF(kg),TIME AVAIL(min),FUCHS BREAKDOWN,BIG PIECES,BLOCKING,2nd PROCESSING OF RUBBISH FROM MOTORS,NO SCRAP IN FEEDING AREA into machine(break change of material etc.),NO ELECTRICAL POWER,NO SCRAP IN THE PLANT OR PROPER MIX,SCALE,START-FINISH TIME,MECHANICAL,ELECTRICAL,ELECTRONIC,FIRE - EXPLOSION,BELTS PROBLEMS,HAMMERS AND FACING PROBLEMS,HYDRAULICS,OTHER,40000,40001,40002,40003,40004,40005,40006,40008,40009,40011,40012,40016,40017,40018,40020,40021,40240,40242,40296,40297,70001
2857,  134,105680,785,290,110,31565,600,20,0,0,0,81,0,0,0,176,0,0,0,0,0,0,0,0,24980,43680,69770,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3244,  125,88370,765,260,150,20070,480,0,0,0,0,58,0,0,0,60,0,0,0,0,0,0,0,0,19385,14815,75415,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
1381,  127,63520,24715,380,900,12195,480,0,0,45,0,42,0,0,0,114,0,70,0,0,0,0,0,0,0,3970,0,0,0,0,0,0,      0,42365,51970,0,8770,0,0,0,0,0,0,0,0,
1869,   84,46980,1895,85,155,15585,540,0,1,0,240,41,0,0,0,54,0,0,0,0,0,0,0,0,13010,6105,31940,0,0,0,0,0,      0,13645,0,0,0,0,0,0,0,0,0,0,0,
3087,  113,93195,1100,110,145,31750,480,0,0,0,10,30,0,0,0,57,0,6,0,0,0,0,0,0,30775,16715,78810,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3423,  147,104825,1180,120,215,34160,480,13,0,9,0,30,0,0,0,53,0,0,0,0,0,0,0,0,14230,45735,80535,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3135,  131,90620,1080,125,175,40655,480,0,0,37,0,30,0,0,0,55,0,0,0,0,0,0,0,0,11625,39980,81050,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3204,  144,83285,1180,115,150,17130,480,12,0,0,0,95,0,0,0,60,0,0,0,0,9,0,0,0,13315,27820,34775,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,25950,
2048,  150,103550,26560,345,515,13530,480,0,0,0,0,118,0,0,0,43,0,0,0,0,0,0,0,0,0,14005,0,0,0,0,0,0,    925,36640,90005,0,0,6735,0,0,0,0,0,0,2650,
3245,  147,92555,830,135,215,33350,480,0,0,0,0,30,0,0,0,58,0,26,0,0,0,0,0,0,12835,24330,89920,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
1311,   78,36820,220,50,100,8105,480,0,0,0,0,30,0,0,0,59,225,0,0,0,0,0,0,0,9020,15300,20975,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3397,  153,90175,1030,70,65,22815,480,0,0,0,0,30,0,0,0,63,0,29,0,0,0,0,0,0,39270,15945,58940,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3420,  139,100550,1520,165,265,37295,480,0,0,0,0,57,0,0,0,61,0,0,2,0,0,0,0,0,30550,36645,66330,0,6270,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
